vi	V(N005,N002)	I(Rd)
1.969999999999981e+00	-3.019505e+00	5.247340e-05
1.970999999999981e+00	-3.018297e+00	5.351418e-05
1.971999999999981e+00	-3.017085e+00	5.457542e-05
1.972999999999981e+00	-3.015869e+00	5.565751e-05
1.973999999999981e+00	-3.014648e+00	5.676085e-05
1.974999999999981e+00	-3.013423e+00	5.788585e-05
1.975999999999981e+00	-3.012194e+00	5.903293e-05
1.976999999999981e+00	-3.010959e+00	6.020253e-05
1.977999999999980e+00	-3.009721e+00	6.139507e-05
1.978999999999980e+00	-3.008478e+00	6.261100e-05
1.979999999999980e+00	-3.007230e+00	6.385076e-05
1.980999999999980e+00	-3.005977e+00	6.511483e-05
1.981999999999980e+00	-3.004719e+00	6.640367e-05
1.982999999999980e+00	-3.003456e+00	6.771775e-05
1.983999999999980e+00	-3.002188e+00	6.905758e-05
1.984999999999980e+00	-3.000915e+00	7.042362e-05
1.985999999999980e+00	-2.999637e+00	7.181641e-05
1.986999999999979e+00	-2.998353e+00	7.323644e-05
1.987999999999979e+00	-2.997063e+00	7.468426e-05
1.988999999999979e+00	-2.995768e+00	7.616037e-05
1.989999999999979e+00	-2.994467e+00	7.766534e-05
1.990999999999979e+00	-2.993160e+00	7.919972e-05
1.991999999999979e+00	-2.991847e+00	8.076407e-05
1.992999999999979e+00	-2.990528e+00	8.235897e-05
1.993999999999979e+00	-2.989203e+00	8.398500e-05
1.994999999999979e+00	-2.987872e+00	8.564277e-05
1.995999999999978e+00	-2.986533e+00	8.733287e-05
1.996999999999978e+00	-2.985189e+00	8.905593e-05
1.997999999999978e+00	-2.983837e+00	9.081258e-05
1.998999999999978e+00	-2.982479e+00	9.260347e-05
1.999999999999978e+00	-2.981114e+00	9.442924e-05
2.000999999999978e+00	-2.979742e+00	9.629057e-05
2.001999999999978e+00	-2.978362e+00	9.818813e-05
2.002999999999978e+00	-2.976976e+00	1.001226e-04
2.003999999999978e+00	-2.975581e+00	1.020947e-04
2.004999999999978e+00	-2.974179e+00	1.041052e-04
2.005999999999978e+00	-2.972769e+00	1.061548e-04
2.006999999999977e+00	-2.971351e+00	1.082441e-04
2.007999999999977e+00	-2.969925e+00	1.103741e-04
2.008999999999977e+00	-2.968491e+00	1.125454e-04
2.009999999999977e+00	-2.967048e+00	1.147588e-04
2.010999999999977e+00	-2.965597e+00	1.170152e-04
2.011999999999977e+00	-2.964137e+00	1.193154e-04
2.012999999999977e+00	-2.962668e+00	1.216602e-04
2.013999999999977e+00	-2.961190e+00	1.240503e-04
2.014999999999977e+00	-2.959703e+00	1.264868e-04
2.015999999999976e+00	-2.958206e+00	1.289705e-04
2.016999999999976e+00	-2.956700e+00	1.315022e-04
2.017999999999976e+00	-2.955184e+00	1.340829e-04
2.018999999999976e+00	-2.953657e+00	1.367135e-04
2.019999999999976e+00	-2.952121e+00	1.393950e-04
2.020999999999976e+00	-2.950574e+00	1.421283e-04
2.021999999999976e+00	-2.949017e+00	1.449143e-04
2.022999999999976e+00	-2.947449e+00	1.477542e-04
2.023999999999976e+00	-2.945870e+00	1.506488e-04
2.024999999999975e+00	-2.944280e+00	1.535993e-04
2.025999999999975e+00	-2.942678e+00	1.566066e-04
2.026999999999975e+00	-2.941066e+00	1.596720e-04
2.027999999999975e+00	-2.939440e+00	1.627963e-04
2.028999999999975e+00	-2.937804e+00	1.659808e-04
2.029999999999975e+00	-2.936155e+00	1.692266e-04
2.030999999999975e+00	-2.934493e+00	1.725348e-04
2.031999999999975e+00	-2.932818e+00	1.759067e-04
2.032999999999975e+00	-2.931131e+00	1.793433e-04
2.033999999999974e+00	-2.929431e+00	1.828459e-04
2.034999999999974e+00	-2.927717e+00	1.864157e-04
2.035999999999974e+00	-2.925989e+00	1.900541e-04
