#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA294A
#Date Time: 2025-12-17 02:39:22.636
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 100 %
#Phase: 0
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s)	Channel 1 (V)
-0.00138915	-0.0167088932353753
-0.00138852	-0.0167088932353753
-0.00138789	-0.0167088932353753
-0.00138726	-0.0167088932353753
-0.00138663	-0.02041025889524726
-0.001386	-0.0167088932353753
-0.00138537	-0.0167088932353753
-0.00138474	-0.02411162455511921
-0.00138411	-0.02041025889524726
-0.00138348	-0.02411162455511921
-0.00138285	-0.02411162455511921
-0.00138222	-0.02411162455511921
-0.00138159	-0.02041025889524726
-0.00138096	-0.0167088932353753
-0.00138033	-0.0167088932353753
-0.0013797	-0.02041025889524726
-0.00137907	-0.0167088932353753
-0.00137844	-0.01300752757550335
-0.00137781	-0.0167088932353753
-0.00137718	-0.0167088932353753
-0.00137655	-0.02411162455511921
-0.00137592	-0.02041025889524726
-0.00137529	-0.02041025889524726
-0.00137466	-0.02411162455511921
-0.00137403	-0.02411162455511921
-0.0013734	-0.02041025889524726
-0.00137277	-0.02041025889524726
-0.00137214	-0.02041025889524726
-0.00137151	-0.02041025889524726
-0.00137088	-0.02411162455511921
-0.00137025	-0.02411162455511921
-0.00136962	-0.0167088932353753
-0.00136899	-0.02041025889524726
-0.00136836	-0.02411162455511921
-0.00136773	-0.02411162455511921
-0.0013671	-0.02041025889524726
-0.00136647	-0.0167088932353753
-0.00136584	-0.02041025889524726
-0.00136521	-0.02041025889524726
-0.00136458	-0.02041025889524726
-0.00136395	-0.0167088932353753
-0.00136332	-0.01300752757550335
-0.00136269	-0.0167088932353753
-0.00136206	-0.0167088932353753
-0.00136143	-0.0167088932353753
-0.0013608	-0.01300752757550335
-0.00136017	-0.0167088932353753
-0.00135954	-0.02411162455511921
-0.00135891	-0.02411162455511921
-0.00135828	-0.0167088932353753
-0.00135765	-0.0167088932353753
-0.00135702	-0.0167088932353753
-0.00135639	-0.0167088932353753
-0.00135576	-0.0167088932353753
-0.00135513	-0.02041025889524726
-0.0013545	-0.0167088932353753
-0.00135387	-0.0167088932353753
-0.00135324	-0.0167088932353753
-0.00135261	-0.0167088932353753
-0.00135198	-0.02041025889524726
-0.00135135	-0.02041025889524726
-0.00135072	-0.02041025889524726
-0.00135009	-0.0167088932353753
-0.00134946	-0.0167088932353753
-0.00134883	-0.0167088932353753
-0.0013482	-0.02041025889524726
-0.00134757	-0.02041025889524726
-0.00134694	-0.01300752757550335
-0.00134631	-0.0167088932353753
-0.00134568	-0.02041025889524726
-0.00134505	-0.02041025889524726
-0.00134442	-0.0167088932353753
-0.00134379	-0.02041025889524726
-0.00134316	-0.02041025889524726
-0.00134253	-0.01300752757550335
-0.0013419	-0.02041025889524726
-0.00134127	-0.02041025889524726
-0.00134064	-0.0167088932353753
-0.00134001	-0.02041025889524726
-0.00133938	-0.0167088932353753
-0.00133875	-0.0167088932353753
-0.00133812	-0.0167088932353753
-0.00133749	-0.02041025889524726
-0.00133686	-0.02041025889524726
-0.00133623	-0.0167088932353753
-0.0013356	-0.0167088932353753
-0.00133497	-0.0167088932353753
-0.00133434	-0.02041025889524726
-0.00133371	-0.02411162455511921
-0.00133308	-0.0167088932353753
-0.00133245	-0.0167088932353753
-0.00133182	-0.0167088932353753
-0.00133119	-0.0167088932353753
-0.00133056	-0.0167088932353753
-0.00132993	-0.02041025889524726
-0.0013293	-0.02041025889524726
-0.00132867	-0.02041025889524726
-0.00132804	-0.01300752757550335
-0.00132741	-0.0167088932353753
-0.00132678	-0.02041025889524726
-0.00132615	-0.02041025889524726
-0.00132552	-0.0167088932353753
-0.00132489	-0.0167088932353753
-0.00132426	-0.02041025889524726
-0.00132363	-0.02041025889524726
-0.001323	-0.0167088932353753
-0.00132237	-0.0167088932353753
-0.00132174	-0.0167088932353753
-0.00132111	-0.02041025889524726
-0.00132048	-0.02041025889524726
-0.00131985	-0.0167088932353753
-0.00131922	-0.01300752757550335
-0.00131859	-0.009306161915631396
-0.00131796	-0.02041025889524726
-0.00131733	-0.0167088932353753
-0.0013167	-0.02041025889524726
-0.00131607	-0.0167088932353753
-0.00131544	-0.02041025889524726
-0.00131481	-0.02411162455511921
-0.00131418	-0.02041025889524726
-0.00131355	-0.0167088932353753
-0.00131292	-0.0167088932353753
-0.00131229	-0.0167088932353753
-0.00131166	-0.01300752757550335
-0.00131103	-0.01300752757550335
-0.0013104	-0.0167088932353753
-0.00130977	-0.02041025889524726
-0.00130914	-0.0167088932353753
-0.00130851	-0.0167088932353753
-0.00130788	-0.0167088932353753
-0.00130725	-0.01300752757550335
-0.00130662	-0.0167088932353753
-0.00130599	-0.0167088932353753
-0.00130536	-0.0167088932353753
-0.00130473	-0.02041025889524726
-0.0013041	-0.02041025889524726
-0.00130347	-0.02041025889524726
-0.00130284	-0.02411162455511921
-0.00130221	-0.02041025889524726
-0.00130158	-0.02041025889524726
-0.00130095	-0.02411162455511921
-0.00130032	-0.02041025889524726
-0.00129969	-0.0167088932353753
-0.00129906	-0.01300752757550335
-0.00129843	-0.01300752757550335
-0.0012978	-0.01300752757550335
-0.00129717	-0.0167088932353753
