vi	V(n002)	I(Rd)
1.973999999999981e+00	4.988648e+00	5.676085e-05
1.974999999999981e+00	4.988423e+00	5.788585e-05
1.975999999999981e+00	4.988194e+00	5.903293e-05
1.976999999999981e+00	4.987959e+00	6.020253e-05
1.977999999999980e+00	4.987721e+00	6.139507e-05
1.978999999999980e+00	4.987478e+00	6.261100e-05
1.979999999999980e+00	4.987230e+00	6.385076e-05
1.980999999999980e+00	4.986977e+00	6.511483e-05
1.981999999999980e+00	4.986719e+00	6.640367e-05
1.982999999999980e+00	4.986456e+00	6.771775e-05
1.983999999999980e+00	4.986188e+00	6.905758e-05
1.984999999999980e+00	4.985915e+00	7.042362e-05
1.985999999999980e+00	4.985637e+00	7.181641e-05
1.986999999999979e+00	4.985353e+00	7.323644e-05
1.987999999999979e+00	4.985063e+00	7.468426e-05
1.988999999999979e+00	4.984768e+00	7.616037e-05
1.989999999999979e+00	4.984467e+00	7.766534e-05
1.990999999999979e+00	4.984160e+00	7.919972e-05
1.991999999999979e+00	4.983847e+00	8.076407e-05
1.992999999999979e+00	4.983528e+00	8.235897e-05
1.993999999999979e+00	4.983203e+00	8.398500e-05
1.994999999999979e+00	4.982872e+00	8.564277e-05
1.995999999999978e+00	4.982533e+00	8.733287e-05
1.996999999999978e+00	4.982189e+00	8.905593e-05
1.997999999999978e+00	4.981837e+00	9.081258e-05
1.998999999999978e+00	4.981479e+00	9.260347e-05
1.999999999999978e+00	4.981114e+00	9.442924e-05
2.000999999999978e+00	4.980742e+00	9.629057e-05
2.001999999999978e+00	4.980362e+00	9.818813e-05
2.002999999999978e+00	4.979976e+00	1.001226e-04
2.003999999999978e+00	4.979581e+00	1.020947e-04
2.004999999999978e+00	4.979179e+00	1.041052e-04
2.005999999999978e+00	4.978769e+00	1.061548e-04
2.006999999999977e+00	4.978351e+00	1.082441e-04
2.007999999999977e+00	4.977925e+00	1.103741e-04
2.008999999999977e+00	4.977491e+00	1.125454e-04
2.009999999999977e+00	4.977048e+00	1.147588e-04
2.010999999999977e+00	4.976597e+00	1.170152e-04
